epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5223,1.57292,4.49898,1.40872,0.00167,0.5,0.00164,0.00065,1.31837,4.79958,1.33818,8e-05,8e-05,8e-05
2,27.8512,1.06417,3.61807,1.04821,0.00333,1,0.05548,0.03339,1.26524,4.35474,0.98512,0.000176436,0.000176436,0.000176436
3,41.3788,1.05962,2.33912,0.99584,0.00333,1,0.48618,0.27497,1.08546,3.88315,0.88185,0.000268912,0.000268912,0.000268912
4,54.2112,1.07649,1.99427,0.94969,0.00333,1,0.55116,0.28956,1.1153,3.94182,0.87681,0.000357428,0.000357428,0.000357428
5,67.3084,0.96018,1.94118,0.93304,0.00333,1,0.19238,0.12247,1.09011,3.87479,0.88854,0.000441984,0.000441984,0.000441984
6,80.2507,1.00951,1.53173,0.91346,0.00333,1,0.11603,0.09057,1.08932,3.9729,0.92523,0.00052258,0.00052258,0.00052258
7,92.6108,0.97256,1.49293,0.90371,0.00333,1,0.00561,0.00391,1.06287,3.96453,0.92834,0.000599216,0.000599216,0.000599216
8,104.626,0.947,1.43034,0.92149,0.00333,1,0.05049,0.03521,1.07087,3.88296,0.92339,0.000671892,0.000671892,0.000671892
9,117.305,1.02016,1.52035,0.96436,0.00333,1,0.28574,0.13564,1.31083,3.86358,0.97021,0.000740608,0.000740608,0.000740608
10,129.744,1.05354,1.46858,0.91722,0.00333,1,0.11102,0.06083,1.23455,3.83595,0.97352,0.000805364,0.000805364,0.000805364
11,143.393,0.97962,1.32365,0.95661,0.00333,1,0.82326,0.44824,1.17027,3.65414,0.9672,0.00086616,0.00086616,0.00086616
12,156.147,1.02914,1.40498,0.96477,0.00317,0.95,0.36126,0.23635,1.18164,3.84192,0.97188,0.000922996,0.000922996,0.000922996
13,174.086,0.98517,1.29903,0.95279,0.00317,0.95,0.73739,0.44288,1.24536,3.62785,0.9864,0.000975872,0.000975872,0.000975872
14,212.787,0.99347,1.30443,0.96041,1,0.29947,0.88447,0.45994,1.34214,3.36847,0.9892,0.00102479,0.00102479,0.00102479
15,226.974,1.00251,1.22886,0.95826,1,0.65043,0.85017,0.51906,1.34918,3.30982,0.97331,0.00106974,0.00106974,0.00106974
16,238.974,0.94795,1.32503,0.99038,1,0.42567,0.89568,0.44789,1.46503,3.3219,1.05751,0.00111074,0.00111074,0.00111074
17,251.674,0.99871,1.22446,0.96346,1,0.35731,0.80201,0.48272,1.39574,3.34808,1.02866,0.00114778,0.00114778,0.00114778
18,264.067,0.92011,1.10818,0.92625,1,0.80723,0.94627,0.61235,1.32317,2.95215,0.99451,0.00118085,0.00118085,0.00118085
19,276.152,0.88241,1.17137,0.92679,1,0.94582,0.99262,0.62416,1.28301,2.3729,0.98489,0.00120997,0.00120997,0.00120997
